           ⬆      struct           -           +           *           <          <=          ==          !=           >          >=          if        then        else       while          do          id         and          or         not           (           )           [           ]           =           ;           ,        true       false        proc     epsilon        call           $       digit           :     integer        real          P'           P           D           S           T           X           C           E           L           B       Elist       relop
       error          s9         s10       error       error       error       error       error       error       error       error         s11       error       error         s12       error         s13       error       error       error         s14       error       error       error       error       error       error       error       error         s15       error         s16       error         s17       error         s18         s19       error           1           2           3           4           5       error           6           7       error           8       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          r1       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error          s9       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s21       error       error          r0       error       error         s18         s19       error       error          20       error           4           5       error       error       error       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error         s23       error       error         s12       error         s13       error       error       error         s14       error       error       error       error       error       error       error       error       error       error         s16          r2         s17       error       error       error       error       error       error          22       error       error       error           6           7       error           8       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
         s26       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s27       error       error       error       error       error       error       error         s28       error       error       error       error       error       error       error       error       error       error       error       error          25       error       error       error       error       error
       error       error         r49         s30         s31       error       error       error       error       error       error         r49       error       error         r49       error         r49       error       error       error         r49       error       error       error       error       error         r49       error       error       error       error         r49         r49         r49       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r24         r24         r24       error       error       error       error       error       error         r24       error       error         r24       error         r24       error       error       error         r24       error         s32       error         s33       error         r24       error       error       error       error         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r48       error       error       error       error       error       error       error       error         r48       error       error         r48       error         r48       error       error       error         r48       error       error       error       error       error         s34       error       error       error       error         r48         r48         r48       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
         r25       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r25       error       error       error       error       error       error       error         r25       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          35          36       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s43         s44       error       error       error       error       error       error         s45         s46       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          38          39          40       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s51         s52       error       error       error       error       error       error         s53         s54       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          48          49          50       error       error
       error       error         r22         r22         r22       error       error       error       error       error       error         r22       error       error         r22       error         r22       error       error       error         r22       error         s55       error         s56       error         r22       error       error       error       error         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s59       error       error       error       error       error       error       error       error       error       error       error       error       error         s60       error       error       error         s61       error       error       error       error       error       error       error       error       error       error       error       error         s62       error       error       error       error       error       error       error       error       error       error          57          58       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s63       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s64       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r23         r23         r23       error       error       error       error       error       error         r23       error       error         r23       error         r23       error       error       error         r23       error       error       error       error       error         r23       error       error       error       error         r23         r23         r23       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
         r11       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r11       error       error       error       error       error       error       error         r11       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
         r12       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r12       error       error       error       error       error       error       error         r12       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error          r4       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          r4       error       error          r4       error       error          r4          r4       error       error          20       error           4           5       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s65       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error          r5       error       error       error       error       error       error       error       error          r5       error       error          r5       error          r5       error       error       error          r5       error       error       error       error       error       error       error       error       error       error          r5          r5          r5       error       error       error       error       error       error          66       error       error       error           6           7       error           8       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s43         s44       error       error       error       error       error       error         s45         s46       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          38          39          67       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s68       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          r9       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
         s26       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s27       error       error       error       error       error       error       error         s28       error       error       error       error       error       error       error       error       error       error       error       error          69       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         s70       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r14       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          71          36       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          72          36       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          73          36       error       error       error
       error       error         s76       error       error       error       error       error       error       error       error       error       error       error       error       error         s77       error       error       error         s78       error       error       error       error       error       error       error       error       error       error       error       error         s79       error       error       error       error       error       error       error       error       error       error          74          75       error       error       error
       error       error         s82       error       error       error       error       error       error       error       error       error       error       error       error       error         s83       error       error       error         s84       error       error       error       error       error       error       error       error       error       error       error       error         s85       error       error       error       error       error       error       error       error       error       error          80          81       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          86          36       error       error       error
       error       error         r20         r20         r20       error       error       error       error       error       error         r20       error       error         r20       error         r20       error       error       error         r20       error       error       error       error       error         r20       error       error       error       error         r20         r20         r20       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r24         r24         r24       error       error       error       error       error       error         r24       error       error         r24       error         r24       error       error       error         r24       error         s87       error       error       error         r24       error       error       error       error         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r22         r22         r22       error       error       error       error       error       error         r22       error       error         r22       error         r22       error       error       error         r22       error         s88       error       error       error         r22       error       error       error       error         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s90         s91         s92         s93         s94         s95         s96         s97         s98       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          89
       error       error         r24         r24         r24         r24         r24         r24         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error         s99       error        s100       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error        s101       error       error       error       error        s102        s103       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error        s106       error       error       error        s107       error       error       error       error       error       error       error       error       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error         104         105       error       error       error
       error       error         r22         r22         r22         r22         r22         r22         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error        s108       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s43         s44       error       error       error       error       error       error         s45         s46       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          38          39         109       error       error
       error       error        s113       error       error       error       error       error       error       error       error       error       error       error       error       error        s114       error       error        s115        s116       error       error       error       error       error       error        s117        s118       error       error       error       error        s119       error       error       error       error       error       error       error       error       error       error         110         111         112       error       error
       error       error       error       error       error       error       error       error       error       error       error       error         r38       error       error       error       error         r38         r38       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
